PORT_TYPE,EVSE_ZIP,SESSION_START_DATE,SESSION_START_TIME,SESSION_LENGTH,ENERGY,SUBLAP,LAT,LON
3,3,12/19/13,5:44,16.749096,4.261224533,LAP1,40.82405,-80.70807
2,12,12/16/13,16:55,5.487413,2.194037555,LAP2,40.666304,-80.69382
2,4,12/28/13,1:46,2.180507,0.628470426,LAP1,41.237692,-80.129426
2,1,12/22/13,22:27,13.815647,4.131768719,LAP1,40.759591,-80.892775
3,2,12/25/13,9:42,1.413173,1.97868178,LAP1,40.476938,-80.381297
2,7,12/30/13,18:42,1.177574,1.079221402,LAP2,41.197179,-80.218578
1,5,12/27/13,21:17,3.432913,2.243190736,LAP1,40.932256,-80.388139
1,3,12/10/13,16:58,5.566736,2.890355577,LAP1,40.82405,-80.70807
2,9,12/23/13,12:39,5.481894,1.735801003,LAP2,40.605104,-80.061551
3,12,12/13/13,2:13,4.437202,1.472305724,LAP2,40.666304,-80.69382
3,9,12/1/13,22:51,6.832572,2.015270192,LAP2,40.605104,-80.061551
2,14,12/26/13,23:42,11.899996,4.158136933,LAP2,41.141569,-80.833456
3,13,12/10/13,7:22,5.618896,1.534168323,LAP2,40.697587,-80.44851
1,10,12/24/13,21:54,4.662399,1.110240565,LAP2,40.940856,-80.902297
1,11,12/4/13,6:44,5.189695,1.466263901,LAP2,40.782878,-80.527821
1,7,12/15/13,9:38,4.453323,0.963301621,LAP2,41.197179,-80.218578
1,14,12/13/13,9:30,0.840448,0.896611381,LAP2,41.141569,-80.833456
1,5,12/11/13,2:50,0.436585,0.334041446,LAP1,40.932256,-80.388139
3,2,12/27/13,13:17,2.261005,1.995705665,LAP1,40.476938,-80.381297
3,6,12/15/13,13:03,3.482847,2.658500805,LAP2,41.088805,-80.651918
2,3,12/12/13,6:01,10.768622,4.104927717,LAP1,40.82405,-80.70807
1,4,12/15/13,5:40,6.422351,2.953412933,LAP1,41.237692,-80.129426
1,3,12/6/13,22:11,1.725371,1.101484948,LAP1,40.82405,-80.70807
2,11,12/10/13,21:23,9.55564,2.965595353,LAP2,40.782878,-80.527821
3,13,12/30/13,9:52,3.012388,2.150794982,LAP2,40.697587,-80.44851
1,2,12/2/13,9:03,5.385433,1.996530399,LAP1,40.476938,-80.381297
3,5,12/25/13,9:19,7.763365,2.49917594,LAP1,40.932256,-80.388139
1,14,12/4/13,2:44,3.331509,1.971898126,LAP2,41.141569,-80.833456
2,1,12/29/13,10:45,4.906391,1.885407141,LAP1,40.759591,-80.892775
1,6,12/16/13,9:06,9.09271,2.975301437,LAP2,41.088805,-80.651918
1,2,12/31/13,19:40,11.835098,3.496531219,LAP1,40.476938,-80.381297
1,3,12/10/13,17:31,9.186105,3.550668634,LAP1,40.82405,-80.70807
1,2,12/3/13,17:51,2.353294,1.632037055,LAP1,40.476938,-80.381297
1,11,12/22/13,21:25,1.256682,1.051673016,LAP2,40.782878,-80.527821
3,6,12/23/13,13:56,10.824611,2.952901125,LAP2,41.088805,-80.651918
1,3,12/10/13,15:52,5.73712,2.878483701,LAP1,40.82405,-80.70807
2,9,12/17/13,7:50,1.275852,0.975959014,LAP2,40.605104,-80.061551
1,1,12/5/13,8:28,1.217811,1.83466038,LAP1,40.759591,-80.892775
2,14,12/6/13,17:15,12.091319,2.490526233,LAP2,41.141569,-80.833456
3,7,12/5/13,23:58,0.306868,1.550170506,LAP2,41.197179,-80.218578
3,10,12/6/13,17:59,4.869068,2.962225926,LAP2,40.940856,-80.902297
3,7,12/9/13,4:14,1.395418,1.286377063,LAP2,41.197179,-80.218578
3,3,12/31/13,21:48,0.095519,1.981619824,LAP1,40.82405,-80.70807
2,14,12/2/13,3:23,7.031318,1.539361313,LAP2,41.141569,-80.833456
3,2,12/5/13,20:03,1.335367,0.658310754,LAP1,40.476938,-80.381297
2,3,12/28/13,23:59,1.908141,0.509549559,LAP1,40.82405,-80.70807
2,11,12/24/13,16:03,11.683893,2.778380558,LAP2,40.782878,-80.527821
2,14,12/2/13,12:45,8.559985,3.163559065,LAP2,41.141569,-80.833456
2,4,12/9/13,13:32,10.879828,3.614152142,LAP1,41.237692,-80.129426
2,2,12/11/13,3:16,1.187478,1.917949305,LAP1,40.476938,-80.381297
1,8,12/2/13,6:31,3.984054,2.249551191,LAP2,41.122195,-80.597651
2,9,12/6/13,18:37,9.49244,3.27935934,LAP2,40.605104,-80.061551
3,4,12/9/13,17:02,1.470572,1.647522908,LAP1,41.237692,-80.129426
2,7,12/2/13,21:51,8.599629,1.893427414,LAP2,41.197179,-80.218578
3,7,12/6/13,14:56,0.849948,0.853664847,LAP2,41.197179,-80.218578
3,1,12/30/13,4:36,14.866556,3.425296166,LAP1,40.759591,-80.892775
1,3,12/21/13,14:00,1.70682,0.716342679,LAP1,40.82405,-80.70807
1,10,12/24/13,18:26,4.224798,2.283888242,LAP2,40.940856,-80.902297
2,6,12/6/13,10:35,9.782129,3.213871998,LAP2,41.088805,-80.651918
1,14,12/24/13,3:53,6.618287,1.441771555,LAP2,41.141569,-80.833456
2,9,12/27/13,21:47,9.473144,3.643157634,LAP2,40.605104,-80.061551
1,6,12/2/13,1:03,5.825795,2.372540584,LAP2,41.088805,-80.651918
2,9,12/8/13,8:57,0.648358,0.398384706,LAP2,40.605104,-80.061551
3,14,12/10/13,15:51,0.508352,0.688339276,LAP2,41.141569,-80.833456
3,10,12/6/13,2:05,0.717869,0.525430213,LAP2,40.940856,-80.902297
3,8,12/6/13,5:50,5.655242,1.622157248,LAP2,41.122195,-80.597651
1,1,12/27/13,15:02,7.31552,3.365291382,LAP1,40.759591,-80.892775
1,10,12/31/13,3:53,3.241899,2.443259057,LAP2,40.940856,-80.902297
3,3,12/27/13,9:55,9.644082,3.218110655,LAP1,40.82405,-80.70807
2,11,12/9/13,15:08,12.27828,4.188221627,LAP2,40.782878,-80.527821
2,8,12/29/13,19:59,7.534441,1.589055875,LAP2,41.122195,-80.597651
1,13,12/15/13,13:05,0.392934,0.708266592,LAP2,40.697587,-80.44851
